Title,Adress,Description,Price,Seller,Image
6 bedroom detached house for sale,"Felstead Way, Luton","""ASSISTED MOVE AVAILABLE, ALL VIEWINGS BY APPOINTMENT ONLY"" An individual, luxury development built to a high specification offering the CONVENIENCE of both town and country living TRADITIONALLY BUILT HOUSES offering 5 & 6 BEDROOM HOMES.","£650,000","Connells, Stopsley",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1654/71338227/1654_STP305679_IMG_01_0000_max_476x317.JPG
Plot for sale,"Midland Road & Burr Street, Luton, Bedfordshire, LU2",A residential-led development opportunity with planning permission for 291 private residential units. The sale includes the freehold interest with full vacant possession of the site measuring approximately 2.34 acres (0.947 hectares). The site has planning permission for 291 private residential...,"£10,000,000","Knight Frank - New Homes, Prime Central London Developments",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/42k/41063/95603618/41063_KRD012086470_IMG_01_0000_max_476x317.jpg
Land for sale,"Markyate Road, Slip End, Luton","A unique opportunity to develop an over 55's Retirement Village in the desirable Village Location of Slip End, Within close proximity of Harpenden and Luton, this area receives a lot of passing traffic and as such the proposed development has the potential to draw residents from the wider area.","£9,500,000","Connells Land & New Homes, Luton - Land",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/113k/112321/94223102/112321_L01100092_IMG_02_0000_max_476x317.JPG
24 bedroom block of apartments for sale,"Newlands Road, Luton","*** FULL BLOCK PLANS AVAILABLE UPON REQUEST *** COMPLETION DECEMBER 2020 *** £144,000 PA rental income ***Stockwood gardens is an exciting new build project of 11 separate residential blocks of luxury executive apartments with secure allocated parking and private terraces and balconies. The...","£2,700,000","Penrose Estate Agents, Luton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66264/71465196/66264_10332316_IMG_01_0000_max_476x317.jpg
Land for sale,"Ashburnham Road, Luton",Venture Residential are delighted to bring to the market this fantastic development opportunity. The overall site area is 0.505 acres. The garden land area is set on 0.123 The main site is set on 0.382 acres There is currently a fully operational garage and MOT station with surrounding la...,"£1,400,000","Venture Residential, Luton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/126k/125461/66684309/125461_9994093_IMG_01_0000_max_476x317.jpg
5 bedroom detached house for sale,"Mancroft Road, Caddington, Luton, Bedfordshire, LU1",A superb and truly unique four / five bedroom detached family home occupying a 12 acre plot in the much sought after village of Caddington.,"£1,200,000","John Curtis  in assoc. with Hamptons, Harpenden",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/25k/24260/95634701/24260_HAR200144_IMG_01_0000_max_476x317.jpg
6 bedroom detached house for sale,"Old Bedford Road, Luton","***EXTENSIVELY EXTENDED SIX BEDROOM DETACHED FAMILY HOME*** Modernised throughout, on the sought after OLD BEDFORD ROAD","£975,000","Connells, Luton North - Sales",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176003/70717875/176003_LUN100967_IMG_03_0000_max_476x317.jpg
6 bedroom detached house for sale,"Old Bedford Road, Luton, Bedfordshire, LU2 7EJ","***STUNNING, SIGNIFICANTLY EXTENDED DETACHED FAMILY HOME ON OLD BEDFORD ROAD*** BOASTING OVER 3800 sqft of living accommodation and finished to a HIGH SPECIFICATION throughout with MODERN F...","£975,000","Indigo Residential, Barton Road",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22718/87799484/22718_532900_IMG_39_0000_max_476x317.jpg
5 bedroom detached house for sale,"Old Bedford Road, Luton",Situated in one of the most prestigious roads in Luton this imposing and extended family home with a double storey extension offers so much living space throughout it must be seen to be appreciated. This property is perfectly located within a short distance to town where you can be at the train s...,"£950,000","Deakin-White, Dunstable",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/142k/141344/72524727/141344_10452645_IMG_01_0000_max_476x317.jpg
5 bedroom detached house for sale,"Barton Road, Luton, Bedfordshire, LU3","Rare Five double bedroom Executive Detached House situated on the affluent Barton Road area of North Luton on a Private Road with 3 Spacious Reception Rooms, Fully Fitted Kitchen with Island, 2 En-suite Bedrooms, 2 Family Bathrooms with Large Front & Rear Gardens.","£874,995","First Choice Property Net, Luton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/25k/24239/89975909/24239_181Barton_IMG_41_0000_max_476x317.jpg
11 bedroom block of apartments for sale,"Park Street, Luton","**** GUIDE PRICE £850,000 - £900,000 ****This prime town centre freehold investment is offered for sale as a whole unit or two separate properties. As a whole it comprises of a six bedroom HMO as well as two apartments and two one bedroom houses all currently rented. With a combined a...","£850,000","Penrose Estate Agents, Luton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66264/53621082/66264_8672047_IMG_01_0000_max_476x317.jpg
9 bedroom flat for sale,"Princess Street, Luton","Fantastic Block of 9 Fully Let Individual Flats (not a HMO). Excellent £64,000 p.a. investment income. Recently refurbished with modern fixtures and fittings. 9 full separate condensation combi-boiler central heating systems. Modern uPVC double glazing throughout. All integrated applianc...","£849,950","Doorsteps.co.uk, National",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/153k/152222/95615963/152222_8329527_IMG_01_0000_max_476x317.jpg
9 bedroom block of apartments for sale,"Princess Street, Luton"," 9 Bed block of apartments for sale Fantastic Block of 9 Fully Let Individual Flats (not a HMO). Excellent £64,000 p.a. investment income. Recently refurbished with modern fixtures and fittings. 9 full separate condensation combi-boiler central heating systems. Modern uPVC double glazin...","£849,950","Doorsteps.co.uk, National",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/153k/152222/95615972/152222_8331928_IMG_01_0000_max_476x317.jpg
4 bedroom detached house for sale,"Old Bedford Road, Luton",Situated along Lutons most prestigious road is this stunning four bedroom executive detached family home. The property has been beautifully presented and refurbished over the years of ownership and now offers a fabulous property for any large family to enjoy. You approach the property through a l...,"£795,000","Penrose Estate Agents, Luton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66264/72184956/66264_10405346_IMG_12_0000_max_476x317.jpg
Land for sale,"Dunstable Place, Luton", Venture residential are delighted to be instructed as sole agents on this commercial building situated in the heart of the town centre. Planning permission has been applied for the current building to be demolished and replaced with 12 flats and 12 parking spaces. The breakdown of the flat a...,"£750,000","Venture Residential, Luton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/126k/125461/69938068/125461_9390188_IMG_01_0000_max_476x317.jpg
Block of apartments for sale,"Biscot Road, Luton","Fantastic investment opportunity to buy five flats situated in a block within walking distance to Luton Town. The block consists of 1 x 2 bedroom flat and 4 x 1 bedroom flats. 2 of the flats briefly comprise an entrance hall, 12ft x 10ft (approx) lounge, kitchen, 12ft x 12ft (approx) bedro...","£750,000","Venture Residential, Luton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/126k/125461/69280275/125461_10144471_IMG_01_0000_max_476x317.jpg
4 bedroom detached house for sale,"Chaul End,

Caddington,

Bedfordshire,

LU1 4AX","Caddington Woods enjoys a delightful rural position in the small hamlet of Chaul End, overlooking vast areas of open countryside including the local golf course.  Blending timeless Arts and Crafts touches with the finest of modern family living, The Richmond is a home that is as be...","£739,950",Redrow Homes,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149891/87737885/149891_d872aed7-5907-4c86-b1a7-3b32cb24d615-262_4_40_101368_IMG_01_0000_max_476x317.jpg
